"","VARIABLE","TYPE","NGENES","BETA","BETA_STD","SE","P","FULL_NAME","FDR"
"1","KEGG_O_GLYCAN_BIOSYNTHESIS","SET",4,0.72595,0.052254,0.17373,1.64e-05,"KEGG_O_GLYCAN_BIOSYNTHESIS",0.001722
"2","KEGG_TYPE_I_DIABETES_MELLITUS","SET",2,0.76683,0.039081,0.24661,0.00097334,"KEGG_TYPE_I_DIABETES_MELLITUS",0.05110035
"3","KEGG_B_CELL_RECEPTOR_SIGNALI...","SET",3,0.52829,0.032954,0.20201,0.0045506,"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.159271
"4","KEGG_MTOR_SIGNALING_PATHWAY","SET",2,0.41127,0.02096,0.2266,0.034965,"KEGG_MTOR_SIGNALING_PATHWAY",0.52266
"5","KEGG_RNA_DEGRADATION","SET",2,0.40007,0.020389,0.22307,0.036656,"KEGG_RNA_DEGRADATION",0.52266
"6","KEGG_GLYCOSAMINOGLYCAN_DEGRA...","SET",2,0.43122,0.021977,0.24773,0.041077,"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.52266
"7","KEGG_ALDOSTERONE_REGULATED_S...","SET",5,0.26192,0.021065,0.15117,0.041789,"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.52266
"8","KEGG_VEGF_SIGNALING_PATHWAY","SET",2,0.40794,0.020791,0.24777,0.050052,"KEGG_VEGF_SIGNALING_PATHWAY",0.52266
"9","KEGG_LYSOSOME","SET",5,0.27026,0.021736,0.16572,0.05168,"KEGG_LYSOSOME",0.52266
"10","KEGG_AMINO_SUGAR_AND_NUCLEOT...","SET",2,0.39849,0.020309,0.24779,0.054115,"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.52266
"11","KEGG_LONG_TERM_DEPRESSION","SET",8,0.18512,0.018796,0.12023,0.062031,"KEGG_LONG_TERM_DEPRESSION",0.52266
"12","KEGG_GLIOMA","SET",4,0.25596,0.018424,0.16747,0.063425,"KEGG_GLIOMA",0.52266
"13","KEGG_INSULIN_SIGNALING_PATHW...","SET",2,0.37533,0.019128,0.24784,0.06518,"KEGG_INSULIN_SIGNALING_PATHWAY",0.52266
"14","KEGG_PANCREATIC_CANCER","SET",3,0.29967,0.018693,0.20252,0.069688,"KEGG_PANCREATIC_CANCER",0.52266
"15","KEGG_PROSTATE_CANCER","SET",4,0.22265,0.016027,0.16754,0.092136,"KEGG_PROSTATE_CANCER",0.60755
"16","KEGG_REGULATION_OF_ACTIN_CYT...","SET",12,0.13841,0.017165,0.10459,0.093061,"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.60755
"17","KEGG_TOLL_LIKE_RECEPTOR_SIGN...","SET",3,0.24772,0.015452,0.20262,0.11093,"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.60755
"18","KEGG_PURINE_METABOLISM","SET",7,0.13327,0.012665,0.1116,0.11641,"KEGG_PURINE_METABOLISM",0.60755
"19","KEGG_TGF_BETA_SIGNALING_PATH...","SET",6,0.17852,0.015717,0.15143,0.11941,"KEGG_TGF_BETA_SIGNALING_PATHWAY",0.60755
"20","KEGG_TIGHT_JUNCTION","SET",9,0.1376,0.014808,0.11749,0.12096,"KEGG_TIGHT_JUNCTION",0.60755
